TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,SelectedCues,FeltCorrectly,ReactionTime_seconds
2026-01-15 13:14:11.619984,2026-01-15 13:14:07.721172,2026-01-15 13:14:08.327312,VH,HV,YES,0.372
2026-01-15 13:14:24.192085,2026-01-15 13:14:18.253029,2026-01-15 13:14:19.026275,VAH,HV,NO,0.400
2026-01-15 13:14:33.514318,2026-01-15 13:14:30.410704,2026-01-15 13:14:31.021784,VH,HV,YES,0.448
2026-01-15 13:14:44.543778,2026-01-15 13:14:40.882948,2026-01-15 13:14:41.492150,VH,HV,YES,0.424
2026-01-15 13:14:56.791667,2026-01-15 13:14:53.582182,2026-01-15 13:14:54.353222,VAH,AHV,YES,0.658
2026-01-15 13:15:06.801448,2026-01-15 13:15:02.889735,2026-01-15 13:15:03.542871,A,A,YES,0.753
2026-01-15 13:15:15.043689,2026-01-15 13:15:11.903423,2026-01-15 13:15:12.669609,AH,AH,YES,0.517
2026-01-15 13:15:23.463770,2026-01-15 13:15:20.890568,2026-01-15 13:15:21.497165,H,H,YES,0.317
2026-01-15 13:15:35.400111,2026-01-15 13:15:32.123155,2026-01-15 13:15:32.889863,VAH,AHV,YES,0.382
2026-01-15 13:15:47.948498,2026-01-15 13:15:45.268193,2026-01-15 13:15:45.878696,H,H,YES,0.465
2026-01-15 13:16:01.188070,2026-01-15 13:15:57.980415,2026-01-15 13:15:58.737098,VAH,AHV,YES,0.399
2026-01-15 13:16:10.137387,2026-01-15 13:16:07.866222,2026-01-15 13:16:08.469343,H,H,YES,0.420
2026-01-15 13:16:19.544975,2026-01-15 13:16:17.257313,2026-01-15 13:16:17.868268,H,H,YES,0.372
2026-01-15 13:16:28.870895,2026-01-15 13:16:26.185503,2026-01-15 13:16:26.859236,A,A,YES,0.611
2026-01-15 13:16:40.889097,2026-01-15 13:16:37.737217,2026-01-15 13:16:38.502654,VAH,AHV,YES,0.363
2026-01-15 13:16:51.895062,2026-01-15 13:16:48.921524,2026-01-15 13:16:49.527082,VH,HV,YES,0.319
2026-01-15 13:17:02.635348,2026-01-15 13:16:58.969939,2026-01-15 13:16:59.632221,VA,AV,YES,0.365
2026-01-15 13:17:09.729730,2026-01-15 13:17:07.510403,2026-01-15 13:17:08.113245,H,H,YES,0.332
2026-01-15 13:17:20.507140,2026-01-15 13:17:17.600294,2026-01-15 13:17:18.374950,AH,AH,YES,0.475
2026-01-15 13:17:29.529048,2026-01-15 13:17:27.350580,2026-01-15 13:17:27.961866,H,H,YES,0.274
2026-01-15 13:17:39.344702,2026-01-15 13:17:36.758823,2026-01-15 13:17:37.417447,A,A,YES,0.546
2026-01-15 13:17:50.617002,2026-01-15 13:17:47.795876,2026-01-15 13:17:48.572562,AH,AH,YES,0.462
2026-01-15 13:17:58.794644,2026-01-15 13:17:55.601359,2026-01-15 13:17:56.267628,VA,AV,YES,0.451
2026-01-15 13:18:07.974630,2026-01-15 13:18:05.469806,2026-01-15 13:18:06.131519,A,A,YES,0.515
2026-01-15 13:18:17.638801,2026-01-15 13:18:14.902764,2026-01-15 13:18:15.510069,H,H,YES,0.338
2026-01-15 13:18:26.909296,2026-01-15 13:18:24.487757,2026-01-15 13:18:25.003754,V,V,YES,0.407
2026-01-15 13:18:36.215954,2026-01-15 13:18:33.077620,2026-01-15 13:18:33.849480,VAH,AHV,YES,0.476
2026-01-15 13:18:45.989176,2026-01-15 13:18:42.933908,2026-01-15 13:18:43.595738,VA,AV,YES,0.331
