TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,SelectedCues,FeltCorrectly,ReactionTime_seconds
2026-01-15 13:41:54.990488,2026-01-15 13:41:43.852173,2026-01-15 13:41:44.616959,VAH,AHV,YES,0.563
2026-01-15 13:42:05.070643,2026-01-15 13:42:00.212255,2026-01-15 13:42:00.988791,AH,AH,YES,
2026-01-15 13:42:16.696685,2026-01-15 13:42:12.397995,2026-01-15 13:42:13.170069,VAH,AHV,YES,
2026-01-15 13:42:28.283828,2026-01-15 13:42:24.347525,2026-01-15 13:42:25.007013,A,A,YES,
2026-01-15 13:42:39.155181,2026-01-15 13:42:34.299137,2026-01-15 13:42:34.910673,VH,HV,YES,
2026-01-15 13:42:48.181397,2026-01-15 13:42:44.331602,2026-01-15 13:42:44.941577,VH,HV,YES,
2026-01-15 13:42:58.852412,2026-01-15 13:42:55.783572,2026-01-15 13:42:56.300496,V,V,YES,
2026-01-15 13:43:10.690121,2026-01-15 13:43:06.684644,2026-01-15 13:43:07.445805,VAH,AHV,YES,
2026-01-15 13:43:23.325928,2026-01-15 13:43:20.362501,2026-01-15 13:43:20.973486,H,H,YES,
2026-01-15 13:43:32.193901,2026-01-15 13:43:28.802514,2026-01-15 13:43:29.559687,AH,AH,YES,
2026-01-15 13:43:43.603266,2026-01-15 13:43:40.982807,2026-01-15 13:43:41.594297,H,H,YES,
2026-01-15 13:43:54.990627,2026-01-15 13:43:50.501787,2026-01-15 13:43:51.274000,VAH,AHV,YES,
2026-01-15 13:44:04.471608,2026-01-15 13:44:00.444247,2026-01-15 13:44:01.046846,VH,HV,YES,
2026-01-15 13:44:15.775284,2026-01-15 13:44:12.534161,2026-01-15 13:44:13.198608,VA,AV,YES,
2026-01-15 13:44:26.418014,2026-01-15 13:44:23.016804,2026-01-15 13:44:23.787577,VAH,AHV,YES,
2026-01-15 13:44:36.078411,2026-01-15 13:44:32.743486,2026-01-15 13:44:33.510744,VAH,AHV,YES,
2026-01-15 13:44:47.533734,2026-01-15 13:44:44.439686,2026-01-15 13:44:45.101073,A,A,YES,
2026-01-15 13:44:57.991952,2026-01-15 13:44:54.002752,2026-01-15 13:44:54.613858,VH,HV,YES,
2026-01-15 13:45:07.995156,2026-01-15 13:45:05.311226,2026-01-15 13:45:05.973983,A,A,YES,
2026-01-15 13:45:18.097084,2026-01-15 13:45:14.269479,2026-01-15 13:45:14.786817,V,V,YES,
2026-01-15 13:45:28.949125,2026-01-15 13:45:26.157850,2026-01-15 13:45:26.671985,V,V,YES,
2026-01-15 13:45:38.193746,2026-01-15 13:45:35.530000,2026-01-15 13:45:36.133973,H,H,YES,
2026-01-15 13:45:47.959028,2026-01-15 13:45:44.025582,2026-01-15 13:45:44.793430,VAH,AHV,YES,
2026-01-15 13:45:58.848431,2026-01-15 13:45:56.421350,2026-01-15 13:45:57.031701,H,H,YES,
2026-01-15 13:46:09.747620,2026-01-15 13:46:06.203921,2026-01-15 13:46:06.966342,VAH,AHV,YES,
2026-01-15 13:46:20.059909,2026-01-15 13:46:16.846916,2026-01-15 13:46:17.456583,VH,HV,YES,
