Time,Stimulus,KeysPressed,FeltCorrectly,ReactionTimes
2025-12-18 14:14:28.948021,AH,,NO,
2025-12-18 14:14:34.785277,VA,,NO,
2025-12-18 14:14:43.600705,AH,,NO,
2025-12-18 14:14:52.082922,A,,NO,
2025-12-18 14:14:59.251273,VH,,NO,
2025-12-18 14:15:05.719369,AH,,NO,
2025-12-18 14:16:42.350496,H,,NO,
2025-12-18 14:16:50.629836,H,,NO,
2025-12-18 14:17:00.193490,A,,NO,
2025-12-18 14:17:06.973350,AH,,NO,
2025-12-18 14:17:15.403202,AH,,NO,
2025-12-18 14:17:24.730292,V,,NO,
2025-12-18 14:17:32.505566,VAH,,NO,
2025-12-18 14:17:40.536205,A,,NO,
2025-12-18 14:29:43.162175,AH,,NO,
2025-12-18 14:29:52.511631,VA,,NO,
2025-12-18 14:30:03.169107,VH,,NO,
2025-12-18 14:30:13.830293,H,,NO,
2025-12-18 14:30:25.120439,H,,NO,
2025-12-18 14:30:35.012636,A,,NO,
2025-12-18 14:30:45.764731,VAH,,NO,
2025-12-18 14:30:54.697259,VH,,NO,
2025-12-18 14:31:06.237110,VH,,NO,
2025-12-18 14:31:17.965344,H,,NO,
2025-12-18 14:31:28.785671,H,,NO,
2025-12-18 14:31:39.624038,VAH,,NO,
2025-12-18 14:34:48.676550,H,,NO,
2025-12-18 14:34:59.030423,H,,NO,
2025-12-18 14:35:06.566415,VA,,NO,
2025-12-18 14:35:15.135611,VAH,,NO,
2025-12-18 14:35:23.086175,H,,NO,
2025-12-18 14:35:30.633241,VH,,NO,
2025-12-18 14:35:38.688215,V,,NO,
2025-12-18 14:35:45.109007,H,,NO,
2025-12-18 14:44:33.132874,A,,NO,
2025-12-18 14:44:41.548972,VH,,NO,
2025-12-18 14:44:48.171356,VA,,NO,
2025-12-18 14:44:56.558215,V,,NO,
2025-12-18 14:45:05.410686,AH,,NO,
2025-12-18 14:45:13.303318,V,,NO,
2025-12-18 14:45:21.669618,H,,NO,
2025-12-18 14:45:29.318505,AH,,NO,
2025-12-18 14:45:38.096200,VAH,,NO,
2025-12-18 14:56:04.229185,2025-12-18 14:56:01.846861,2025-12-18 14:56:02.613948,A,"1,2,3",NO,1.004,1.743,1.951,2025-12-18 14:56:02.850423,2025-12-18 14:56:03.590043,2025-12-18 14:56:03.797957
2025-12-18 14:56:12.316109,2025-12-18 14:56:09.916839,2025-12-18 14:56:10.700267,VA,,NO,,,,,,
2025-12-18 14:56:21.669742,2025-12-18 14:56:19.172287,2025-12-18 14:56:20.054863,VAH,,NO,,,,,,
2025-12-18 14:56:30.383938,2025-12-18 14:56:28.265481,2025-12-18 14:56:28.770335,V,,NO,,,,,,
2025-12-18 14:56:39.263910,2025-12-18 14:56:36.773940,2025-12-18 14:56:37.650955,VAH,,NO,,,,,,
2025-12-18 14:56:46.914206,2025-12-18 14:56:44.687857,2025-12-18 14:56:45.301342,H,3,YES,1.195,,,2025-12-18 14:56:45.883028,,
2025-12-18 14:56:55.611318,2025-12-18 14:56:53.384734,2025-12-18 14:56:53.998229,H,,NO,,,,,,
2025-12-18 14:57:05.967252,2025-12-18 14:57:03.568671,2025-12-18 14:57:04.351585,A,2,YES,1.080,,,2025-12-18 14:57:04.648709,,
2025-12-18 14:57:14.818231,2025-12-18 14:57:12.710819,2025-12-18 14:57:13.215824,V,"3,1",NO,0.735,1.010,,2025-12-18 14:57:13.446072,2025-12-18 14:57:13.720955,
2025-12-18 14:57:21.118886,2025-12-18 14:57:18.890932,2025-12-18 14:57:19.503544,VH,"2,3",NO,1.286,1.364,,2025-12-18 14:57:20.176614,2025-12-18 14:57:20.255426,
2025-12-18 14:57:31.334560,2025-12-18 14:57:28.840998,2025-12-18 14:57:29.718878,AH,"2,3",YES,1.611,1.673,,2025-12-18 14:57:30.451865,2025-12-18 14:57:30.513838,
2025-12-18 14:57:41.226304,2025-12-18 14:57:39.100096,2025-12-18 14:57:39.610471,V,1,YES,0.708,,,2025-12-18 14:57:39.808385,,
2025-12-18 14:57:49.979267,2025-12-18 14:57:47.754306,2025-12-18 14:57:48.368261,H,,NO,,,,,,
