TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,KeysPressed,FeltCorrectly,RT1_seconds,RT2_seconds,RT3_seconds,Keypress1_Timestamp,Keypress2_Timestamp,Keypress3_Timestamp
2026-01-15 18:20:49.122656,2026-01-15 18:20:47.461263,2026-01-15 18:20:48.116364,VH,"1,3,1",NO,0.628,0.950,0.965,2026-01-15 18:20:48.088968,2026-01-15 18:20:48.411210,2026-01-15 18:20:48.426387
2026-01-15 18:20:58.160378,2026-01-15 18:20:56.501857,2026-01-15 18:20:57.159647,VA,"2,1",YES,0.754,0.756,,2026-01-15 18:20:57.256273,2026-01-15 18:20:57.257917,
2026-01-15 18:21:07.266285,2026-01-15 18:21:05.596615,2026-01-15 18:21:06.266794,VA,"2,1",YES,0.980,1.009,,2026-01-15 18:21:06.576469,2026-01-15 18:21:06.605254,
2026-01-15 18:21:16.904712,2026-01-15 18:21:15.091083,2026-01-15 18:21:15.903974,AH,"3,2",YES,0.682,0.683,,2026-01-15 18:21:15.772778,2026-01-15 18:21:15.774111,
2026-01-15 18:21:24.572238,2026-01-15 18:21:23.054105,2026-01-15 18:21:23.571599,V,1,YES,0.998,,,2026-01-15 18:21:24.052038,,
2026-01-15 18:21:31.548901,2026-01-15 18:21:30.030887,2026-01-15 18:21:30.548297,V,1,YES,0.764,,,2026-01-15 18:21:30.795046,,
2026-01-15 18:21:41.621461,2026-01-15 18:21:40.102527,2026-01-15 18:21:40.616316,V,1,YES,0.480,,,2026-01-15 18:21:40.582573,,
2026-01-15 18:21:51.057931,2026-01-15 18:21:49.395906,2026-01-15 18:21:50.053200,VH,"1,2",NO,0.443,0.452,,2026-01-15 18:21:49.839372,2026-01-15 18:21:49.848184,
2026-01-15 18:22:00.739200,2026-01-15 18:21:59.072410,2026-01-15 18:21:59.738519,VA,"1,2",YES,1.105,1.105,,2026-01-15 18:22:00.177640,2026-01-15 18:22:00.177816,
2026-01-15 18:22:10.589744,2026-01-15 18:22:08.936267,2026-01-15 18:22:09.589071,H,3,YES,0.564,,,2026-01-15 18:22:09.500553,,
2026-01-15 18:22:20.376623,2026-01-15 18:22:18.686294,2026-01-15 18:22:19.373498,VA,"1,2",YES,0.757,0.782,,2026-01-15 18:22:19.443200,2026-01-15 18:22:19.468467,
2026-01-15 18:22:29.706337,2026-01-15 18:22:27.890907,2026-01-15 18:22:28.705517,AH,"3,2",YES,1.004,1.004,,2026-01-15 18:22:28.895293,2026-01-15 18:22:28.895355,
