TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,KeysPressed,FeltCorrectly,RT1_seconds,RT2_seconds,RT3_seconds,Keypress1_Timestamp,Keypress2_Timestamp,Keypress3_Timestamp
2026-01-15 12:40:22.359665,2026-01-15 12:40:20.699059,2026-01-15 12:40:21.357186,H,3,YES,0.845,,,2026-01-15 12:40:21.543758,,
2026-01-15 12:40:32.654352,2026-01-15 12:40:31.146853,2026-01-15 12:40:31.654753,V,1,YES,0.548,,,2026-01-15 12:40:31.694663,,
2026-01-15 12:40:42.125790,2026-01-15 12:40:40.467166,2026-01-15 12:40:41.125183,VH,"1,2",NO,0.823,0.897,,2026-01-15 12:40:41.290291,2026-01-15 12:40:41.364593,
2026-01-15 12:40:50.462826,2026-01-15 12:40:48.801095,2026-01-15 12:40:49.462300,A,2,YES,0.972,,,2026-01-15 12:40:49.772883,,
2026-01-15 12:41:00.758056,2026-01-15 12:40:58.939917,2026-01-15 12:40:59.757178,VAH,"1,3",NO,0.916,0.973,,2026-01-15 12:40:59.856318,2026-01-15 12:40:59.912974,
2026-01-15 12:41:08.750794,2026-01-15 12:41:06.934070,2026-01-15 12:41:07.749878,AH,3,NO,1.549,,,2026-01-15 12:41:08.483130,,
2026-01-15 12:41:17.667786,2026-01-15 12:41:15.998565,2026-01-15 12:41:16.663756,VA,"1,2,3,1",NO,0.642,0.719,0.847,2026-01-15 12:41:16.640906,2026-01-15 12:41:16.717743,2026-01-15 12:41:16.845085
2026-01-15 12:41:28.250464,2026-01-15 12:41:26.436970,2026-01-15 12:41:27.249620,VAH,"1,3",NO,0.764,0.846,,2026-01-15 12:41:27.201446,2026-01-15 12:41:27.282985,
2026-01-15 12:41:35.267125,2026-01-15 12:41:33.612251,2026-01-15 12:41:34.268085,H,1,NO,0.400,,,2026-01-15 12:41:34.012703,,
2026-01-15 12:41:42.846145,2026-01-15 12:41:41.189749,2026-01-15 12:41:41.845473,A,2,YES,1.493,,,2026-01-15 12:41:42.682723,,
2026-01-15 12:41:50.816422,2026-01-15 12:41:49.298084,2026-01-15 12:41:49.815666,V,1,YES,1.009,,,2026-01-15 12:41:50.307556,,
2026-01-15 12:41:59.707770,2026-01-15 12:41:57.877107,2026-01-15 12:41:58.705970,VAH,"1,3",NO,0.893,0.895,,2026-01-15 12:41:58.770523,2026-01-15 12:41:58.771760,
2026-01-15 12:42:07.251515,2026-01-15 12:42:05.590412,2026-01-15 12:42:06.250813,VA,"1,2",YES,1.028,1.036,,2026-01-15 12:42:06.618526,2026-01-15 12:42:06.626303,
2026-01-15 12:42:18.429706,2026-01-15 12:42:16.798242,2026-01-15 12:42:17.428971,VA,"1,2",YES,0.905,0.905,,2026-01-15 12:42:17.703342,2026-01-15 12:42:17.703443,
2026-01-15 12:42:29.134067,2026-01-15 12:42:27.614243,2026-01-15 12:42:28.133416,V,1,YES,0.700,,,2026-01-15 12:42:28.314470,,
2026-01-15 12:42:36.510035,2026-01-15 12:42:34.690442,2026-01-15 12:42:35.509220,VAH,"1,2",NO,0.989,1.078,,2026-01-15 12:42:35.679257,2026-01-15 12:42:35.768090,
2026-01-15 12:42:45.940279,2026-01-15 12:42:44.290718,2026-01-15 12:42:44.939614,VA,1,NO,0.824,,,2026-01-15 12:42:45.115080,,
2026-01-15 12:42:54.176486,2026-01-15 12:42:52.368983,2026-01-15 12:42:53.177183,AH,3,NO,0.956,,,2026-01-15 12:42:53.324483,,
2026-01-15 12:43:02.549025,2026-01-15 12:43:00.891534,2026-01-15 12:43:01.548975,VH,"1,3",YES,1.440,1.442,,2026-01-15 12:43:02.331493,2026-01-15 12:43:02.333342,
2026-01-15 12:43:10.562537,2026-01-15 12:43:08.743958,2026-01-15 12:43:09.561785,VAH,"1,3",NO,1.182,1.184,,2026-01-15 12:43:09.926403,2026-01-15 12:43:09.927903,
2026-01-15 12:43:19.019002,2026-01-15 12:43:17.205619,2026-01-15 12:43:18.018291,AH,3,NO,1.037,,,2026-01-15 12:43:18.242569,,
2026-01-15 12:43:27.821443,2026-01-15 12:43:26.302491,2026-01-15 12:43:26.820723,V,,NO,,,,,,
2026-01-15 12:43:35.616754,2026-01-15 12:43:33.800659,2026-01-15 12:43:34.615852,AH,,NO,,,,,,
2026-01-15 12:43:46.113653,2026-01-15 12:43:44.455690,2026-01-15 12:43:45.112497,H,3,YES,0.856,,,2026-01-15 12:43:45.311224,,
2026-01-15 12:43:54.850972,2026-01-15 12:43:53.187991,2026-01-15 12:43:53.850104,VA,"2,1",YES,0.966,0.969,,2026-01-15 12:43:54.154033,2026-01-15 12:43:54.156579,
2026-01-15 12:44:04.627339,2026-01-15 12:44:02.817633,2026-01-15 12:44:03.626397,AH,"3,3",NO,1.106,1.311,,2026-01-15 12:44:03.923246,2026-01-15 12:44:04.128980,
2026-01-15 12:44:12.272893,2026-01-15 12:44:10.617271,2026-01-15 12:44:11.272146,A,2,YES,1.168,,,2026-01-15 12:44:11.785446,,
2026-01-15 12:44:20.504783,2026-01-15 12:44:18.844292,2026-01-15 12:44:19.504045,A,2,YES,1.264,,,2026-01-15 12:44:20.108516,,
2026-01-15 12:44:30.563325,2026-01-15 12:44:28.743732,2026-01-15 12:44:29.562419,VAH,"1,3,1",NO,0.946,1.129,1.178,2026-01-15 12:44:29.689371,2026-01-15 12:44:29.872709,2026-01-15 12:44:29.921257
2026-01-15 12:44:36.664441,2026-01-15 12:44:35.143224,2026-01-15 12:44:35.661290,V,,NO,,,,,,
2026-01-15 12:44:45.701970,2026-01-15 12:44:43.882472,2026-01-15 12:44:44.701106,VAH,"1,3",NO,1.023,1.042,,2026-01-15 12:44:44.905340,2026-01-15 12:44:44.924135,
2026-01-15 12:44:54.079671,2026-01-15 12:44:52.416405,2026-01-15 12:44:53.079047,A,2,YES,1.075,,,2026-01-15 12:44:53.491706,,
2026-01-15 12:45:03.014813,2026-01-15 12:45:01.355644,2026-01-15 12:45:02.017114,VH,3,NO,0.744,,,2026-01-15 12:45:02.099982,,
2026-01-15 12:45:10.660898,2026-01-15 12:45:09.000644,2026-01-15 12:45:09.660679,VH,3,NO,0.826,,,2026-01-15 12:45:09.826985,,
2026-01-15 12:45:21.631527,2026-01-15 12:45:19.942757,2026-01-15 12:45:20.599424,H,"1,3",NO,0.747,0.992,,2026-01-15 12:45:20.689334,2026-01-15 12:45:20.934923,
2026-01-15 12:45:30.368428,2026-01-15 12:45:28.710418,2026-01-15 12:45:29.366324,VH,3,NO,0.882,,,2026-01-15 12:45:29.591934,,
2026-01-15 12:45:40.146489,2026-01-15 12:45:38.328412,2026-01-15 12:45:39.145675,AH,1,NO,0.821,,,2026-01-15 12:45:39.149009,,
2026-01-15 12:45:51.440312,2026-01-15 12:45:49.780967,2026-01-15 12:45:50.439661,H,2,NO,0.719,,,2026-01-15 12:45:50.499799,,
2026-01-15 12:45:59.594980,2026-01-15 12:45:57.938089,2026-01-15 12:45:58.594267,VA,,NO,,,,,,
2026-01-15 12:46:09.494984,2026-01-15 12:46:07.835769,2026-01-15 12:46:08.494231,A,,NO,,,,,,
2026-01-15 12:46:18.116331,2026-01-15 12:46:16.303140,2026-01-15 12:46:17.115471,AH,,NO,,,,,,
2026-01-15 12:46:29.265407,2026-01-15 12:46:27.604803,2026-01-15 12:46:28.261924,VH,"1,2",NO,1.126,1.128,,2026-01-15 12:46:28.730893,2026-01-15 12:46:28.732379,
2026-01-15 12:46:39.410531,2026-01-15 12:46:37.594033,2026-01-15 12:46:38.409755,AH,,NO,,,,,,
2026-01-15 12:46:48.794019,2026-01-15 12:46:47.155789,2026-01-15 12:46:47.793380,VA,,NO,,,,,,
2026-01-15 12:46:55.293284,2026-01-15 12:46:53.632766,2026-01-15 12:46:54.292603,VA,"3,2,1,2",NO,0.726,0.731,1.123,2026-01-15 12:46:54.358364,2026-01-15 12:46:54.363885,2026-01-15 12:46:54.755945
2026-01-15 12:47:03.967472,2026-01-15 12:47:02.306336,2026-01-15 12:47:02.966848,VH,"2,1",NO,1.573,1.577,,2026-01-15 12:47:03.879001,2026-01-15 12:47:03.883152,
2026-01-15 12:47:12.273016,2026-01-15 12:47:10.615752,2026-01-15 12:47:11.270979,H,3,YES,0.857,,,2026-01-15 12:47:11.472440,,
2026-01-15 12:47:20.139887,2026-01-15 12:47:18.482193,2026-01-15 12:47:19.140498,VH,"1,3",YES,0.911,0.913,,2026-01-15 12:47:19.392936,2026-01-15 12:47:19.395616,
2026-01-15 12:47:30.463224,2026-01-15 12:47:28.943596,2026-01-15 12:47:29.458964,V,1,YES,0.794,,,2026-01-15 12:47:29.737624,,
2026-01-15 12:47:41.120797,2026-01-15 12:47:39.460027,2026-01-15 12:47:40.120104,A,2,YES,1.280,,,2026-01-15 12:47:40.739571,,
2026-01-15 12:47:48.660864,2026-01-15 12:47:46.840212,2026-01-15 12:47:47.663300,VAH,"3,1",NO,1.154,1.427,,2026-01-15 12:47:47.994409,2026-01-15 12:47:48.267603,
2026-01-15 12:47:57.871783,2026-01-15 12:47:56.048097,2026-01-15 12:47:56.870967,VAH,"3,1,2",YES,1.087,1.089,1.091,2026-01-15 12:47:57.135362,2026-01-15 12:47:57.136675,2026-01-15 12:47:57.138979
2026-01-15 12:48:05.098076,2026-01-15 12:48:03.581613,2026-01-15 12:48:04.100608,V,1,YES,0.952,,,2026-01-15 12:48:04.533854,,
2026-01-15 12:48:13.683611,2026-01-15 12:48:12.024230,2026-01-15 12:48:12.681576,H,3,YES,0.989,,,2026-01-15 12:48:13.013319,,
2026-01-15 12:48:20.932296,2026-01-15 12:48:19.413338,2026-01-15 12:48:19.931586,V,1,YES,1.012,,,2026-01-15 12:48:20.425095,,
2026-01-15 12:48:30.364644,2026-01-15 12:48:28.705210,2026-01-15 12:48:29.364092,VH,"1,3",YES,1.119,1.437,,2026-01-15 12:48:29.824592,2026-01-15 12:48:30.142016,
2026-01-15 12:48:39.142832,2026-01-15 12:48:37.476065,2026-01-15 12:48:38.142124,VA,1,NO,0.911,,,2026-01-15 12:48:38.387106,,
2026-01-15 12:48:49.111217,2026-01-15 12:48:47.598021,2026-01-15 12:48:48.110634,V,1,YES,0.637,,,2026-01-15 12:48:48.235160,,
2026-01-15 12:48:55.963348,2026-01-15 12:48:54.306310,2026-01-15 12:48:54.962761,A,2,YES,1.071,,,2026-01-15 12:48:55.377657,,
2026-01-15 12:49:06.005244,2026-01-15 12:49:04.486807,2026-01-15 12:49:05.004570,V,1,YES,0.868,,,2026-01-15 12:49:05.355103,,
2026-01-15 12:49:14.624957,2026-01-15 12:49:12.966327,2026-01-15 12:49:13.625071,H,2,NO,1.428,,,2026-01-15 12:49:14.394211,,
2026-01-15 12:49:24.586929,2026-01-15 12:49:22.928439,2026-01-15 12:49:23.588173,H,3,YES,1.152,,,2026-01-15 12:49:24.080744,,
2026-01-15 12:49:32.412505,2026-01-15 12:49:30.755895,2026-01-15 12:49:31.412385,VH,"1,3",YES,1.514,1.579,,2026-01-15 12:49:32.269537,2026-01-15 12:49:32.335291,
2026-01-15 12:49:40.127229,2026-01-15 12:49:38.454871,2026-01-15 12:49:39.126564,VA,"1,3",NO,1.108,1.109,,2026-01-15 12:49:39.562768,2026-01-15 12:49:39.564250,
2026-01-15 12:49:48.531119,2026-01-15 12:49:46.872755,2026-01-15 12:49:47.534000,H,1,NO,1.215,,,2026-01-15 12:49:48.088003,,
2026-01-15 12:49:57.629568,2026-01-15 12:49:55.966687,2026-01-15 12:49:56.629053,A,2,YES,1.238,,,2026-01-15 12:49:57.205058,,
2026-01-15 12:50:06.707253,2026-01-15 12:50:04.888754,2026-01-15 12:50:05.706467,AH,"3,1,3,2",NO,1.142,1.315,1.339,2026-01-15 12:50:06.031138,2026-01-15 12:50:06.203519,2026-01-15 12:50:06.227338
2026-01-15 12:50:12.963247,2026-01-15 12:50:11.291850,2026-01-15 12:50:11.962581,A,2,YES,1.135,,,2026-01-15 12:50:12.426572,,
2026-01-15 12:50:22.597671,2026-01-15 12:50:20.779715,2026-01-15 12:50:21.596883,VAH,"1,2,3",YES,1.225,1.227,1.578,2026-01-15 12:50:22.005150,2026-01-15 12:50:22.006260,2026-01-15 12:50:22.357549
2026-01-15 12:50:31.693548,2026-01-15 12:50:29.876123,2026-01-15 12:50:30.692822,AH,3,NO,1.239,,,2026-01-15 12:50:31.114883,,
